case	pair	path	cache_hit	system_bytes	system_tokens	prompt_tokens	prepare_ms	validate_ms	total_ms
24_tools_miss	13	exp28	0	26263	5473	5502	1.980084	0.003041	1.983125
24_tools_miss	14	before	-1	26263	5473	5502	3.825750	0.006500	3.832250
24_tools_miss	14	exp28	0	26263	5473	5502	1.974250	0.003000	1.977250
24_tools_miss	15	before	-1	26263	5473	5502	4.096708	0.005958	4.102666
24_tools_miss	15	exp28	0	26263	5473	5502	2.184083	0.003125	2.187208
24_tools_miss	16	before	-1	26263	5473	5502	4.352375	0.006334	4.358709
24_tools_miss	16	exp28	0	26263	5473	5502	2.190875	0.003125	2.194000
24_tools_miss	17	before	-1	26263	5473	5502	4.326750	0.006000	4.332750
24_tools_miss	17	exp28	0	26263	5473	5502	2.239667	0.003208	2.242875
24_tools_miss	18	before	-1	26263	5473	5502	4.085583	0.005833	4.091416
24_tools_miss	18	exp28	0	26263	5473	5502	1.978875	0.003167	1.982042
24_tools_miss	19	before	-1	26263	5473	5502	4.218125	0.005959	4.224084
24_tools_miss	19	exp28	0	26263	5473	5502	2.208417	0.003125	2.211542
24_tools_miss	20	before	-1	26263	5473	5502	3.801375	0.005791	3.807166
24_tools_miss	20	exp28	0	26263	5473	5502	1.993250	0.003125	1.996375
# 24_tools_miss: before=4.129 ms exp28=1.996 ms paired_saving=2.002 ms saving_p10_p90=[1.811,2.173] ms change=-51.6% hits=0/20
